IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,
y,y,y,y,m,Vijay,Gill,GM,Microsoft,"GM, Microsoft",,,Speaker,y,"Networking and services. Verizon, Zayo, AOL, Google, Microsoft.",,,,,,,
y,y,y,y,m,Paramesh,Gopi,President and CEO,AppliedMicro,"President and CEO, AppliedMicro",,,Speaker,y,"Dr. Paramesh Gopi joined AppliedMicro in July 2008 as Senior Vice President and Chief Operating Officer. Before that, he was Vice President and General Manager for Marvell's Embedded and Emerging Business Unit. Dr. Gopi served as Chief Technologist and held several management positions during his six-year tenure at Marvell. Before joining Marvell, he served as Executive Director, Strategic Marketing and Applications at Mindspeed Technologies/Conexant Systems. Dr. Gopi holds a doctorate in electrical and computer engineering from the University of California, Irvine.",,,,@appliedmicro,,,
y,y,y,y,m,Ryan,Granard  ,VP of Platform Engineering,PayPal,"VP of Platform Engineering, PayPal",,,Speaker,y,"Ryan Granard has more than 20 years of experience in leading teams in architecting and implementing scalable, highly-available infrastructure and services, and improving operational efficiency and effectiveness. He has expertise in industries such as ecommerce and legal to financial services, and media and entertainment. Ryan currently serves as Vice President of Platform Engineering at PayPal, where he leads a team that is transforming the infrastructure that enables PayPal’s developers to change the way millions shop and pay. In Ryan’s role, he is responsible for leading the company’s cloud initiatives, platform services, and developer tools and infrastructure. Prior to PayPal, Ryan was Director of Digital Operations at DreamWorks Animation, where he managed the high-performance technology infrastructure that enables DreamWorks’ artists to create animated films.",,,,,,,
y,y,y,y,m,Gary,Grider,HPC Division Leader,Los Alamos National Lab,"HPC Division Leader, Los Alamos National Laboratory",,,Speaker,y,"Gary Grider is the Director for High Performance Computing at Los Alamos National Laboratory (LANL).  He is one of the top experts in the country on high performance storage and high performance networks for use at large supercomputing sites. Grider was a founder of the Petascale Data Storage Institute, a SciDAC2 Institute award-winning project. Before working for Los Alamos, he spent ten years with IBM at Los Alamos working on advanced product development and test and 5 years with Sandia National Laboratories working on HPC storage systems. Gary’s received a B.S. in Electrical Engineering from Oklahoma State University and an M.B.A. with emphasis in Management Information Systems, Statistics, Physics, and Mathematics also from Oklahoma State University.",y,,,@LosAlamosNatLab,,http://www.linkedin.com/pub/gary-grider/3/963/a10,
y,y,y,y,m,Peter ,Gross,"VP, Mission Critical Systems",Bloom Energy,"VP, Mission Critical Systems, Bloom Energy",,,Speaker,y,"Gross, leads the Mission Critical Systems group at Bloom Energy, the leading manufacturer of solid oxide fuel cells. Peter is recognized as a thought leader in the mission-critical information and infrastructure design realm, has published numerous technical papers in the field, and is a frequent speaker at international events. His focus centers on mission-critical facilities, high-reliability design, energy and sustainability. He is presently focused on transforming the data center architecture through the use of fuel cells.",,,,@bloom_energy ,,,
y,y,y,y,m,Ben,Haines,CIO,Pabst Brewing Co.,"CIO, Pabst Brewing Co.",,,Speaker,y,"As CIO for the iconic Pabst Brewing Company Ben is responsible for overall IT strategy and execution. Keeping a very close eye on emerging technology and the changing technology landscape, Ben is determined to ensure that IT is innovating and providing business value in the most effective way possible. Prior to joining Pabst, Ben spent 9 years with Red Bull leading teams across Asia Pacific, Europe and Americas. With a grounding in ITSM Ben quickly moved into the application and BI space delivering mobile applications, BI solutions and a global portal and a collaboration platform.",y,,,@bhaines0,,http://www.linkedin.com/in/bhaines,
y,y,y,y,m,Derrick,Harris,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,Speaker,y,"Derrick has been a technology journalist since 2003 and has been covering cloud computing, big data and other emerging IT trends for GigaOM since 2009. He has written the words “cloud” and “Hadoop” possibly more than any other person on the planet. Derrick lives in Las Vegas and has a law degree from the University of Nevada, Las Vegas. Away from the office, Derrick trains in muay thai and is active in animal welfare issues.",,,,@derrickharris,,,
y,y,y,y,m,Mitchell,Hashimoto,Founder,HashiCorp,"Founder, HashiCorp",,,Speaker,y,"Mitchell is a developer, author, entrepreneur, and speaker. He is best known as the creator of Vagrant, a tool used by thousands of companies worldwide to automatically build and manage complex development and test environments. Mitchell founded HashiCorp in 2012 to focus on developing Vagrant full time, and allow him to build a company that creates more tools based on the same principles that made Vagrant so successful. Mitchell has the audacity to think he can change infrastructure and operations in a fundamental way from small hobbyists up to large multinational corporations.",,,,@mitchellh,,http://www.linkedin.com/in/mitchellh,
y,y,y,y,f,Stacey,Higginbotham,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,Speaker,y,"Stacey is happy when immersed in SEC filings, tech specs or poking through a data center. She has spent the last 11 years covering technology and finance for publications such as The Deal, the Austin Business Journal, The Bond Buyer and BusinessWeek, and works remotely from Austin, Texas. At GigaOM, Stacey covers broadband, data center infrastructure, policy and regulation, and entrepreneurs/startups, and is particularly excited to discover news ways technology is changing the world. ",,,,@gigastacey,,,
y,y,y,y,m,Jason,Hoffman,CTO,Joyent,"CTO, Joyent",,,Speaker,y,"Jason Hoffman is the CTO of Joyent, where he is responsible for company vision and execution. He is also responsible for research and advanced development, technical outreach, evangelism, consultative efforts for partners and business units, and manages Joyent’s intellectual property portfolio. Jason earned a BS and MS in Chemistry and Biochemistry at UCLA and a PhD in Molecular Pathology at The Burnham Institute and UCSD School of Medicine. Jason taught at the university level for more than a decade, is a prolific speaker and author and a highly-regarded expert on scalable systems.",,"As founder and CTO at Joyent, Jason oversees the development and implementation of their cloud computing technology. ",,@jasonh,,http://www.linkedin.com/in/jasonhoffman,
