Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
yes,yes,mma,Mobile Marketing Association (MMA),10,,mediapartner,http://mmaglobal.com/main,"is an association established to lead the growth of mobile marketing and its associated technologies. The MMA is an action-oriented organization designed to clear obstacles to market development, establish mobile media guidelines and best practices for sustainable growth, and evangelize the use of the mobile channel.",
yes,yes,parisoma,pariSoma,11,,mediapartner,http://www.pariSoma.com,"is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation.",
yes,yes,plugnplay,PlugandPlayTechCenter.com,12,,mediapartner,http://www.PlugandPlayTechCenter.com," - Located in the heart of Silicon Valley, PlugandPlayTechCenter.com is a community of 300 technology startup companies in the areas of Web 2.0, software (SaaS), systems, semiconductor and telecomm verticals. Since its inception in January 2006 the center has helped the startups raise in excess of $750 million in venture funding. We are committed to cultivating the next generation of revolutionary start-ups in Silicon Valley that will impact people globally. For more information, visit www.PlugandPlayTechCenter.com",
yes,yes,techamerica,TechAmerica,13,,mediapartner,http://www.techamerica.org,"is the leading voice for the U.S. technology industry and the foundation of the global innovation economy.  Representing nearly 1,200 member companies, the association is the industry’s largest advocacy organization and is dedicated to helping members’ top and bottom lines. It is also the technology industry’s only grassroots-to-global advocacy network, with offices and partnerships in state capitals across the country, Washington DC, Europe (Brussels), Asia (Beijing), and around the world.",
yes,yes,techcentralsf,TechCentralSF,14,,mediapartner,http://www.techcentralsf.com/,"- San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",
yes,yes,techpandora,TechPandora,15,,mediapartner,http://www.techpandora.com/,"is an online technology news publication covering, Mobile & Wireless space, Startups & Startup events and the latest happenings in technology world.  For more information, visit www.techpandora.com",
yes,yes,tec2,Technology Evaluation Centers (TEC),16,,mediapartner,http://www.technologyevaluation.com/," helps organizations choose the best enterprise software solutions for their unique needs—quickly and cost effectively. With detailed information on over 1,000 solutions in the world’s largest vendor database, TEC delivers a broad range of evaluation and selection resources to help ensure successful software selection projects.",
yes,yes,telecomcouncil,The Telecom Council,17,,mediapartner,http://www.telecomcouncil.com,"is an association which connects decision makers across the entire telecom ecosystem – it’s Where Telecom Meets Innovation. We have over 20 globally significant telcos - a direct pipeline to over 2 billion subscribers, billions of VC capital, scores of start-ups, and the world’s portal giants - nowhere else in the world are so many powerful telecom people in one place. More at www.telecomcouncil.com",
yes,yes,tie,TiE,18,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",
yes,yes,ubergizmo,Ubergizmo,19,,mediapartner,http://www.ubergizmo.com/,"Launched in 2004, Ubergizmo has quickly become one of the top consumer electronics websites in the US. Ubergizmo is a Webby Award Honoree, has been ranked as aTop100 Blog by PCMagazine, ranks Top100  in Nielsen's Blogpulse and Technorati, and was featured in the Hot Site on USA Today.",
yes,yes,untethertv,UNTETHER.tv,20,,mediapartner,http://www.UNTETHER.tv," is a video podcast focused on the mobile/wireless industry where we get insight into what it takes to build an innovative and growing business from the experts who are currently doing it. With over 100 hours of filmed conversation from the rock starts of the mobile/wireless world, UNTETHER is the most complete resource for learning how to participate and succeed in this space.",
yes,yes,vctaskforce,VC Taskforce,21,,mediapartner,http://www.vctaskforce.com/,"is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",
yes,yes,venturebeat,VentureBeat,22,,mediapartner,http://venturebeat.com/,"is a leading online innovation and technology news site for forward thinking executives and entrepreneurs. VentureBeat was recently ranked as the No. 1 business blog by PR firm Text100, and has also been selected by IDG to partner on the DEMO Conference series, where 70+ of the most compelling technology startups debut each year. VentureBeat also hosts its own conferences, such as MobileBeat and GamesBeat. For more information, visit www.venturebeat.com",
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,
yes,yes,nasdaqomx,NASDAQ OMX,,,showtime,http://www.nasdaqomx.com/,,
yes,yes,wpios,WordPress for iOS,,,showtime,http://iphone.wordpress.org,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,
yes,yes,gist,Gist,,,primetime,http://www.gist.com,,
yes,yes,svb,SVB,,,showtime,http://www.svb.com,,
yes,yes,cisco2,Cisco,,,headline,http://www.cisco.com,,
yes,yes,rebtel,Rebtel,,,primetime,http://www.rebtel.com/,,
yes,yes,appconomy,Appconomy,,,primetime,http://www.appconomy.com,,
yes,yes,qualcomm,Qualcomm,,,primetime,http://www.qualcomm.com,,
yes,yes,att,AT&T,,,showtime,http://www.attinteractive.com,,
yes,yes,xobni,Xobni,,,showtime,http://www.xobni.com,,
yes,yes,nukona,Nukona,,,showtime,http://www.nukona.com,,
yes,yes,twilio,Twilio,,,primetime,http://www.twilio.com,,
yes,yes,bubblemotion,Bubble Motion,,,primetime,http://www.bubblemotion.com/,,
yes,yes,interdigital,InterDigital,,,primetime,http://www.interdigital.com,,
yes,yes,syniverse,Syniverse,,,primetime,http://www.syniverse.com,,
yes,yes,box,Box,,,showtime,http://www.box.net,,
yes,yes,inq,INQ,,,showtime,http://www.inqmobile.com,,
yes,yes,meshin,Meshin,,,showtime,http://www.meshin.com,,
yes,yes,appconomy,Appconomy,,,reception,http://www.appconomy.com,,
yes,yes,appcelerator,Appcelerator,,,primetime,http://www.appcelerator.com,,
yes,yes,pontiflex,Pontiflex,,,primetime,http://pontiflex.com/,,
yes,yes,xirrus,Xirrus,,,showtime,http://www.xirrus.com,,
yes,yes,navteq,Navteq,,,primetime,http://www.navteqmedia.com,,
yes,yes,shoretel,ShoreTel,,,primetime,http://www.shoretel.com,,
yes,yes,sequoia,Sequoia Capital,,,showtime,http://www.sequoiacap.com/,,
yes,yes,exadel,Exadel,,,primetime,http://exadel.com,,
yes,yes,yousendit,YouSendIt,,,showtime,http://www.yousendit.com,,
yes,yes,egnyte,Egnyte,,,showtime,http://www.egnyte.com,,
yes,yes,jiwire,JiWire,,,showtime,http://www.jiwire.com,,
yes,yes,webspiders,Web Spiders,,,showtime,http://www.webspiders.com,,
yes,yes,wsgr,Wilson Sonsini Goodrich & Rosati,,,primetime,http://www.wsgr.com,,
yes,yes,serve,Serve,,,showtime,http://www.serve.com,,
yes,yes,breezy,Breezy,,,showtime,http://www.breezy.com,,
yes,yes,poptuit,Poptuit,,,showtime,http://www.poptuit.com,,
yes,yes,tropo,Tropo,,,showtime,http://www.tropo.com,,
yes,yes,sap,SAP,,,primetime,http://www.sap.com,,
yes,yes,rewardme,RewardMe,,,showtime,http://www.rewardme.com,,
yes,yes,ringcentral,RingCentral,,,showtime,http://www.ringcentral.com,,
